GEOID,NAME,variable,estimate,moe
53043,"Lincoln County, Washington",edu_8th,47,47.659574468085104
53043,"Lincoln County, Washington",edu_9th,86,56
53043,"Lincoln County, Washington",edu_10th,159,70.29787234042553
53043,"Lincoln County, Washington",edu_11th,145,63.148936170212764
53043,"Lincoln County, Washington",edu_12th,63,33.36170212765957
53043,"Lincoln County, Washington",edu_hs,1739,177.531914893617
53043,"Lincoln County, Washington",edu_ged,365,106.04255319148936
53045,"Mason County, Washington",pop,64964,NA
53045,"Mason County, Washington",pop_white,52653,745.8723404255319
53045,"Mason County, Washington",pop_black,435,152.51063829787233
53045,"Mason County, Washington",pop_native,1176,271.6595744680851
53045,"Mason County, Washington",pop_asian,606,246.63829787234042
53045,"Mason County, Washington",pop_latinx,6923,NA
53045,"Mason County, Washington",edu_total,47485,197.7872340425532
53045,"Mason County, Washington",edu_8th,278,144.17021276595744
53045,"Mason County, Washington",edu_9th,660,336
53045,"Mason County, Washington",edu_10th,795,235.91489361702128
53045,"Mason County, Washington",edu_11th,624,222.80851063829786
53045,"Mason County, Washington",edu_12th,1059,359.82978723404256
53045,"Mason County, Washington",edu_hs,11764,904.3404255319149
53045,"Mason County, Washington",edu_ged,2868,593.3617021276596
53047,"Okanogan County, Washington",pop,41966,NA
53047,"Okanogan County, Washington",pop_white,29219,655.3191489361702
53047,"Okanogan County, Washington",pop_black,102,78.63829787234042
53047,"Okanogan County, Washington",pop_native,4082,451.5744680851064
53047,"Okanogan County, Washington",pop_asian,223,66.72340425531914
53047,"Okanogan County, Washington",pop_latinx,8745,NA
53047,"Okanogan County, Washington",edu_total,29575,225.1914893617021
53047,"Okanogan County, Washington",edu_8th,415,160.85106382978722
53047,"Okanogan County, Washington",edu_9th,634,235.91489361702128
53047,"Okanogan County, Washington",edu_10th,490,169.1914893617021
53047,"Okanogan County, Washington",edu_11th,574,177.531914893617
53047,"Okanogan County, Washington",edu_12th,557,197.7872340425532
53047,"Okanogan County, Washington",edu_hs,6964,639.8297872340426
53047,"Okanogan County, Washington",edu_ged,1571,343.1489361702128
53049,"Pacific County, Washington",pop,22974,NA
53049,"Pacific County, Washington",pop_white,19161,400.3404255319149
53049,"Pacific County, Washington",pop_black,138,92.93617021276596
53049,"Pacific County, Washington",pop_native,536,165.61702127659575
53049,"Pacific County, Washington",pop_asian,395,60.76595744680851
53049,"Pacific County, Washington",pop_latinx,2309,NA
53049,"Pacific County, Washington",edu_total,18066,139.40425531914892
53049,"Pacific County, Washington",edu_8th,86,81.02127659574468
53049,"Pacific County, Washington",edu_9th,174,115.57446808510637
53049,"Pacific County, Washington",edu_10th,300,150.12765957446808
53049,"Pacific County, Washington",edu_11th,408,200.17021276595744
53049,"Pacific County, Washington",edu_12th,295,127.48936170212765
53049,"Pacific County, Washington",edu_hs,4477,538.5531914893617
